Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2004-07-01,4980579234.972677,105.5242200546448,35.58,1279843822.4043715,11.502732240437158,,2004,7,,0,926729.5298518447,5180.436609610022
2004-08-01,5055622950.819673,105.27521086065572,38.27,1345679377.8688524,11.418032786885243,,2004,8,,0,619320.4635821562,4072.4839962175306
2004-09-01,5130666666.666667,105.02620166666668,40.96,1411514933.3333333,11.333333333333334,,2004,9,,0,366078.82101826987,3976.729694142178
2004-10-01,5203289617.486339,104.7852250273224,46.86,1475226761.2021856,11.25136612021858,,2004,10,,0,459635.56361506856,4605.841062756206
2004-11-01,5278333333.333333,104.53621583333332,46.84,1541062316.6666665,11.166666666666666,,2004,11,,0,400742.7594146668,2516.4127690102587
2004-12-01,5350956284.153006,104.29523919398906,41.19,1604774144.5355191,11.084699453551911,,2004,12,,0,451932.0119041849,2913.779245086002
2005-01-01,5426000000.0,104.04623,43.155,1670609700.0,11.0,,2005,1,,0,374456.2153458023,3836.7070694466643
2005-02-01,5551189041.09589,104.08759928767122,45.12,1737720665.7534246,10.915068493150685,,2005,2,,0,432149.0551077536,3532.8527601933242
2005-03-01,5664263013.69863,104.1249650958904,50.47,1798337021.9178083,10.838356164383562,,2005,3,,0,449512.98748424015,4212.519725740373
2005-04-01,5789452054.79452,104.16633438356163,54.14,1865447987.671233,10.753424657534246,,2005,4,,0,485717.7578983103,6157.445466204194
2005-05-01,5910602739.726028,104.20636917808218,52.33016393442623,1930394083.561644,10.67123287671233,,2005,5,,0,488541.4920537533,4840.678588865841
2005-06-01,6035791780.821918,104.24773846575344,50.46,1997505049.3150685,10.586301369863014,,2005,6,,0,549394.1826289087,5364.129225716691
2005-07-01,6156942465.753425,104.28777326027397,56.41,2062451145.2054796,10.504109589041096,,2005,7,,0,882558.9604325749,5316.669001122503
2005-08-01,6282131506.849315,104.3291425479452,60.56,2129562110.958904,10.41917808219178,,2005,8,,0,635135.2817173272,5227.249046531694
2005-09-01,6407320547.945206,104.37051183561644,66.79,2196673076.712329,10.334246575342464,,2005,9,,0,421762.49072226626,4847.1029612904695
2005-10-01,6528471232.876713,104.410546630137,61.822786885245904,2261619172.60274,10.252054794520548,,2005,10,,0,485071.91090302996,4352.709319334141
2005-11-01,6653660273.972603,104.45191591780822,56.69,2328730138.3561645,10.167123287671233,,2005,11,,0,401551.9631691464,3909.017639915384
2005-12-01,6774810958.90411,104.49195071232876,53.65,2393676234.246576,10.084931506849315,,2005,12,,0,492963.59420150635,3113.3324588393516
2006-01-01,6900000000.0,104.53332,59.645,2460787200.0,10.0,,2006,1,,0,467472.7343513279,4411.956719211022
2006-02-01,7019498630.136987,104.45491293150684,65.64,2491788414.520548,9.906575342465754,,2006,2,,0,474574.8160434652,3978.0690486282406
2006-03-01,7127432876.712329,104.3840936438356,61.12,2519789511.5068493,9.822191780821916,,2006,3,,0,476787.4045029337,5615.991558866433
2006-04-01,7246931506.849315,104.30568657534246,67.34540983606557,2550790726.027397,9.728767123287671,,2006,4,,0,549869.666357678,4935.116266519777
2006-05-01,7362575342.465754,104.22980876712327,73.37,2580791901.369863,9.63835616438356,,2006,5,,0,504335.5206137328,5192.697254827963
2006-06-01,7482073972.602739,104.15140169863014,68.77,2611793115.890411,9.544931506849316,,2006,6,,0,602242.2545739878,5336.771357238902
2006-07-01,7597717808.219178,104.07552389041096,72.51754098360655,2641794291.232877,9.454520547945206,,2006,7,,0,1089424.79757602,8832.07984947919
2006-08-01,7717216438.356165,103.9971168219178,76.39,2672795505.7534246,9.36109589041096,,2006,8,,0,656450.6608920282,7472.208748259337
2006-09-01,7836715068.493151,103.91870975342466,70.49,2703796720.2739725,9.267671232876712,,2006,9,,0,490162.2267207582,5964.294004758891
2006-10-01,7952358904.109589,103.84283194520548,63.545737704918025,2733797895.6164384,9.177260273972603,,2006,10,,0,554224.6454048129,5422.821797540786
2006-11-01,8071857534.246575,103.76442487671233,56.37,2764799110.1369863,9.083835616438355,,2006,11,,0,444236.5948047252,4669.851824180363
2006-12-01,8187501369.863014,103.68854706849316,64.74,2794800285.479452,8.993424657534247,,2006,12,,0,535002.6851137468,4901.583473689572
2007-01-01,8307000000.0,103.61014,60.74,2825801500.0,8.9,,2007,1,,0,451738.7089302466,4575.129999726366
2007-02-01,8356090410.958904,103.58799750684932,56.74,2795267510.6849318,8.866027397260273,,2007,2,,0,538654.48512954,5578.584049568546
