lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
262389.2792896877,317825.37316873734,251305.272716646,280188.86676486256,370852.9358706416,327699.9477266758,32610.0849520451,132050.15077233023,102623.6806159398,17.669647578086114,-2.4492935982947064e-16,1.0,4,1999,0,0,0,0,1,1,0,1,0,21.32,493472907.17808217,15.866849315068494,114.41892366027398,21.1,560392534.3561645,15.933698630136986,113.98496732054794,0,0,0,1,0
351233.17953711824,262389.2792896877,264697.9723894816,310482.61066518107,369099.90221517626,336027.27329504845,44874.78995696339,132264.78698358827,99878.7230371653,39.76355360165636,0.49999999999999994,0.8660254037844387,1,2000,0,0,0,0,0,0,2,0,0,24.2,460561615.1232877,15.833972602739726,114.6323448109589,22.98,527481242.30136985,15.90082191780822,114.19838847123287,0,0,0,1,0
290515.8472287782,351233.17953711824,260826.5318251384,301379.43535186135,315285.1857848936,338178.76286498987,45407.29911561423,57592.73810416376,98470.68152378999,9.7537108449428,0.8660254037844386,0.5000000000000001,1,2000,0,0,0,0,0,0,0,0,0,25.775,426553280.0,15.8,114.85288,21.32,493472907.17808217,15.866849315068494,114.41892366027398,0,0,0,1,0
287418.0646667413,290515.8472287782,271106.76220498176,309722.36381087924,294955.61528787087,340394.7239351234,35982.77269602433,34712.23506084599,96857.71258093229,10.19510272038974,1.0,6.123233995736766e-17,1,2000,1,0,0,0,0,0,0,0,0,27.35,629662910.1092896,15.757650273224044,114.45946713114752,24.2,460561615.1232877,15.833972602739726,114.6323448109589,0,0,0,1,0
320861.0348359824,287418.0646667413,330174.4511683956,299598.3155771673,305040.4631211742,344540.91332104016,18479.082415255998,31267.070027513233,94662.0947862511,18.35228019630947,0.8660254037844387,-0.4999999999999998,2,2000,1,0,0,0,1,0,0,0,0,29.78,819668693.1147542,15.718032786885246,114.09143573770493,25.775,426553280.0,15.8,114.85288,0,0,0,0,0
350030.9346378976,320861.0348359824,329170.7671916161,319436.67804687377,310408.05669936753,346195.62027683196,31330.72718120734,36265.60513206946,94561.63094679416,6.013936995801897,0.49999999999999994,-0.8660254037844387,2,2000,1,0,0,0,1,0,1,0,0,29.74967391304348,1022778323.2240436,15.675683060109291,113.69802286885246,27.35,629662910.1092896,15.757650273224044,114.45946713114752,0,0,0,0,0
335264.0765004745,350030.9346378976,361751.38146991056,335385.34865811816,322553.85623449873,346703.39605257014,14585.328032498935,28294.404522177112,94478.22332656867,1.8511088821296615,1.2246467991473532e-16,-1.0,2,2000,0,1,0,1,0,0,0,0,0,29.72032608695652,1219336029.7814207,15.634699453551914,113.31730073770493,29.78,819668693.1147542,15.718032786885246,114.09143573770493,0,0,0,0,0
402815.5484341213,335264.0765004745,613404.1458104744,362703.5198574978,331150.91771733254,350125.4099662544,35514.02754140343,42845.876088921344,95807.14109912275,11.351488637680944,-0.4999999999999997,-0.8660254037844388,3,2000,0,1,0,1,1,1,1,0,0,29.69,1422445659.8907104,15.592349726775955,112.92388786885246,29.74967391304348,1022778323.2240436,15.675683060109291,113.69802286885246,0,0,0,1,0
706185.521085395,402815.5484341213,409395.4876488774,481421.7153399969,400429.19669343537,357857.19123916444,197559.80517293166,154519.71436138608,119740.18685321759,15.125651808618128,-0.8660254037844385,-0.5000000000000004,3,2000,0,1,0,1,1,1,3,0,0,27.501475409836065,1619003366.4480877,15.55136612021858,112.54316573770492,29.72032608695652,1219336029.7814207,15.634699453551914,113.31730073770493,0,0,0,0,0
473421.7796432609,706185.521085395,260351.94783616255,527474.283054259,431429.8158561886,363192.71557202976,158743.78702914785,145720.19867163894,123609.42891418177,15.639227574803257,-1.0,-1.8369701987210297e-16,3,2000,0,0,1,0,0,0,0,0,0,25.24,1822112996.557377,15.509016393442623,112.14975286885246,29.69,1422445659.8907104,15.592349726775955,112.92388786885246,0,0,0,1,0
